,title,company,city,country,posted,link
85,Application Support Engineer,etisal for advanced industries  -,"6th of October,","Giza,",Egypt,https://wuzzuf.net/jobs/p/o2h2xl5duxsw-application-support-engineer-etisal-for-advanced-industries-giza-egypt
86,Outdoor Electric Sales Engineer,EPS -,"Nozha,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/udlerdwb7wyr-outdoor-electric-sales-engineer-eps-cairo-egypt
87,Operating Engineer,Acrylicon Egypt for flooring -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/kbsxrstcdet8-operating-engineer-acrylicon-egypt-for-flooring-cairo-egypt
88,Commercial Engineer,ADCONS -,"Cairo,",Egypt,3 days ago,https://wuzzuf.net/jobs/p/opdaf9cmqzbk-commercial-engineer-adcons-cairo-egypt
89,Senior Mechanical Design Engineer (Wastewater & Water Treatment Plants),EGEC -,"Haram,","Giza,",Egypt,https://wuzzuf.net/jobs/p/tlx6bzj6aes6-senior-mechanical-design-engineer-wastewater-water-treatment-plants-egec-giza-egypt
90,Mechanical Design Engineer,Seero -,"Nasr City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/5608qllfhthk-mechanical-design-engineer-seero-cairo-egypt
91,Business Development Engineer,Terra Egypt -,"Sheikh Zayed,","Giza,",Egypt,https://wuzzuf.net/jobs/p/hwafqjw5tpfc-business-development-engineer-terra-egypt-giza-egypt
92,Quality Engineer,FUTEC -,"10th of Ramadan City,","Sharqia,",Egypt,https://wuzzuf.net/jobs/p/cvyhfwrbcxgv-quality-engineer-futec-sharqia-egypt
93,Cyber Security Presales Engineer,Fixed Solutions -,"Cairo,",Egypt,12 days ago,https://wuzzuf.net/jobs/p/gc3ighzoqtdg-cyber-security-presales-engineer-fixed-solutions-cairo-egypt
94,Health Safety Environment Officer,Capital Drilling -,"Red Sea,",Egypt,1 month ago,https://wuzzuf.net/jobs/p/fh9d2h6k082r-health-safety-environment-officer-capital-drilling-red-sea-egypt
95,AI Engineer,Confidential -,"Cairo,",Egypt,2 months ago,https://wuzzuf.net/jobs/p/o3vidob5biei-ai-engineer-cairo-egypt
96,IT Engineer,MINISO LIFE -,"Cairo,",Egypt,2 months ago,https://wuzzuf.net/jobs/p/lthx2dhcxjiv-it-engineer-miniso-life-cairo-egypt
97,QA Engineer,NERIC -,"Port Said,",Egypt,9 days ago,https://wuzzuf.net/jobs/p/zkuwzvpjl4ga-qa-engineer-neric-port-said-egypt
98,Mining Engineer – Drilling & Exploration,Control Contracting Engineering (CCE) -,"Adfo,","Aswan,",Egypt,https://wuzzuf.net/jobs/p/mzinvktjre6z-mining-engineer-drilling-exploration-control-contracting-engineering-cce-aswan-egypt
99,Tender Electrical Engineer,Atwar Al Kon -,"Mokattam,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/erdrrnofj6s7-tender-electrical-engineer-atwar-al-kon-cairo-egypt
100,Procurement Engineer,MCV - Obour -,"Obour City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/0u6k2eeabfmi-procurement-engineer-mcv-obour-cairo-egypt
101,Second Line Support - Systems & Security Engineer.,Confidential -,"Obour City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/funsnf601o9e-second-line-support-systems-security-engineer-cairo-egypt
102,Junior Sales Engineer,GloBAS Group   -,"Dubai,",United Arab Emirates,16 days ago,https://wuzzuf.net/internship/3fnne3anw5gt-junior-sales-engineer-globas-group-dubai-united-arab-emirates
103,Operational Excellence Engineer,Saint-Gobain -,"Ain Sokhna,","Suez,",Egypt,https://wuzzuf.net/jobs/p/1dvoyqtaphwx-operational-excellence-engineer-saint-gobain-suez-egypt
104,Senior Quality Control Engineer,Saint-Gobain -,"Ain Sokhna,","Suez,",Egypt,https://wuzzuf.net/jobs/p/jmos2jddptae-senior-quality-control-engineer-saint-gobain-suez-egypt
105,Quality Assurance Engineer,International co for Electrical & Electronic Industries Electro George -,"Abu Rawash,","Giza,",Egypt,https://wuzzuf.net/jobs/p/xkeltqmrgvtf-quality-assurance-engineer-international-co-for-electrical-electronic-industries-electro-george-giza-egypt
106,Junior Electrical Maintenance Engineer,Confidential -,"Faisal,","Giza,",Egypt,https://wuzzuf.net/jobs/p/zspa0qnw5780-junior-electrical-maintenance-engineer-giza-egypt
107,Mechanical Production Engineer,ITAC -,"Badr City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/mv41w3khnl9f-mechanical-production-engineer-itac-cairo-egypt
